Region,MonthDate,HPIndex
East Anglia,31/10/1973,19.6452
East Anglia,31/01/1974,19.7899
East Anglia,30/04/1974,19.9412
East Anglia,31/07/1974,20.1796
East Anglia,31/10/1974,20.4694
East Anglia,31/01/1975,20.7552
East Anglia,30/04/1975,20.9798
East Anglia,31/07/1975,20.9905
East Anglia,31/10/1975,21.519
East Anglia,31/01/1976,21.9423
East Anglia,30/04/1976,22.2122
East Anglia,31/07/1976,22.649
East Anglia,31/10/1976,22.9645
East Anglia,31/01/1977,23.1145
East Anglia,30/04/1977,23.6338
East Anglia,31/07/1977,24.3762
East Anglia,31/10/1977,24.6678
East Anglia,31/01/1978,25.8746
East Anglia,30/04/1978,26.6265
East Anglia,31/07/1978,29.3594
East Anglia,31/10/1978,30.4568
East Anglia,31/01/1979,32.7191
East Anglia,30/04/1979,35.3416
East Anglia,31/07/1979,38.5279
East Anglia,31/10/1979,42.4268
East Anglia,31/01/1980,44.7716
East Anglia,30/04/1980,46.6233
East Anglia,31/07/1980,46.7277
East Anglia,31/10/1980,47.2146
East Anglia,31/01/1981,47.942
East Anglia,30/04/1981,47.6773
East Anglia,31/07/1981,47.5014
East Anglia,31/10/1981,48.1996
East Anglia,31/01/1982,47.1622
East Anglia,30/04/1982,48.3379
East Anglia,31/07/1982,50.1472
East Anglia,31/10/1982,51.3808
East Anglia,31/01/1983,53.2051
East Anglia,30/04/1983,54.8584
East Anglia,31/07/1983,57.1196
East Anglia,31/10/1983,58.1994
East Anglia,31/01/1984,60.7882
East Anglia,30/04/1984,62.5767
East Anglia,31/07/1984,64.3558
East Anglia,31/10/1984,67.3333
East Anglia,31/01/1985,70.0621
East Anglia,30/04/1985,71.9808
East Anglia,31/07/1985,73.081
East Anglia,31/10/1985,75.7682
East Anglia,31/01/1986,77.0993
East Anglia,30/04/1986,79.0691
East Anglia,31/07/1986,81.7417
East Anglia,31/10/1986,87.199
East Anglia,31/01/1987,91.9231
East Anglia,30/04/1987,98.0414
East Anglia,31/07/1987,104.3863
East Anglia,31/10/1987,108.9263
East Anglia,31/01/1988,120.1514
East Anglia,30/04/1988,132.8596
East Anglia,31/07/1988,153.3559
East Anglia,31/10/1988,151.9143
East Anglia,31/01/1989,156.9653
East Anglia,30/04/1989,153.5997
East Anglia,31/07/1989,145.3172
East Anglia,31/10/1989,139.9379
East Anglia,31/01/1990,128.0974
East Anglia,30/04/1990,125.1975
East Anglia,31/07/1990,121.0417
East Anglia,31/10/1990,118.6192
East Anglia,31/01/1991,119.5599
East Anglia,30/04/1991,115.4888
East Anglia,31/07/1991,114.2841
East Anglia,31/10/1991,113.1873
East Anglia,31/01/1992,111.5845
East Anglia,30/04/1992,110.8633
East Anglia,31/07/1992,106.1668
East Anglia,31/10/1992,102.1218
East Anglia,31/01/1993,102.272
East Anglia,30/04/1993,101.5866
East Anglia,31/07/1993,105.5978
East Anglia,31/10/1993,107.6696
East Anglia,31/01/1994,106.2097
East Anglia,30/04/1994,104.8656
East Anglia,31/07/1994,106.497
East Anglia,31/10/1994,105.2492
East Anglia,31/01/1995,104.4125
East Anglia,30/04/1995,105.8891
East Anglia,31/07/1995,104.4157
East Anglia,31/10/1995,106.1381
East Anglia,31/01/1996,105.1053
East Anglia,30/04/1996,108.104
East Anglia,31/07/1996,108.4806
East Anglia,31/10/1996,112.3565
East Anglia,31/01/1997,120.4056
East Anglia,30/04/1997,116.5081
East Anglia,31/07/1997,122.5107
East Anglia,31/10/1997,125.1737
East Anglia,31/01/1998,125.3264
East Anglia,30/04/1998,129.3714
East Anglia,31/07/1998,132.9099
East Anglia,31/10/1998,132.3205
East Anglia,31/01/1999,135.5425
East Anglia,30/04/1999,134.2094
East Anglia,31/07/1999,140.5379
East Anglia,31/10/1999,148.7554
East Anglia,31/01/2000,157.1091
East Anglia,30/04/2000,161.7812
East Anglia,31/07/2000,161.9953
East Anglia,31/10/2000,164.8021
East Anglia,31/01/2001,172.3985
East Anglia,30/04/2001,177.9156
East Anglia,31/07/2001,192.3862
East Anglia,31/10/2001,194.63
East Anglia,31/01/2002,203.4378
East Anglia,30/04/2002,219.278
East Anglia,31/07/2002,234.3539
East Anglia,31/10/2002,250.7177
East Anglia,31/01/2003,258.1673
East Anglia,30/04/2003,264.9216
East Anglia,31/07/2003,269.29
East Anglia,31/10/2003,277.1007
East Anglia,31/01/2004,291.4456
East Anglia,30/04/2004,303.1096
East Anglia,31/07/2004,312.7211
East Anglia,31/10/2004,315.3459
East Anglia,31/01/2005,315.8896
East Anglia,30/04/2005,315.7394
East Anglia,31/07/2005,316.476
East Anglia,31/10/2005,320.926
East Anglia,31/01/2006,323.4147
East Anglia,30/04/2006,330.8794
East Anglia,31/07/2006,337.5411
East Anglia,31/10/2006,344.4762
East Anglia,31/01/2007,352.2617
East Anglia,30/04/2007,356.5619
East Anglia,31/07/2007,360.7177
East Anglia,31/10/2007,363.7862
East Anglia,31/01/2008,358.8891
East Anglia,30/04/2008,338.4396
East Anglia,31/07/2008,319.5864
East Anglia,31/10/2008,302.9943
East Anglia,31/01/2009,287.6049
East Anglia,30/04/2009,301.4113
East Anglia,31/07/2009,312.4597
East Anglia,31/10/2009,316.2808
East Anglia,31/01/2010,324.1931
East Anglia,30/04/2010,327.9467
East Anglia,31/07/2010,325.1824
East Anglia,31/10/2010,326.8889
East Anglia,31/01/2011,325.0841
East Anglia,30/04/2011,322.7324
East Anglia,31/07/2011,327.7994
East Anglia,31/10/2011,331.6403
East Anglia,31/01/2012,329.3339
East Anglia,30/04/2012,326.6578
East Anglia,31/07/2012,322.9016
East Anglia,31/10/2012,325.4599
East Anglia,31/01/2013,329.0507
East Anglia,30/04/2013,338.4536
East Anglia,31/07/2013,344.16
East Anglia,31/10/2013,349.7072
East Anglia,31/01/2014,360.0104
East Anglia,30/04/2014,370.6952
East Anglia,31/07/2014,382.2145
East Anglia,31/10/2014,383.8933
East Anglia,31/01/2015,387.761
East Anglia,30/04/2015,390.4125
East Anglia,31/07/2015,391.4892
East Anglia,31/10/2015,392.2054
East Anglia,31/01/2016,409.6432
East Anglia,30/04/2016,412.5537
East Anglia,31/07/2016,420.1059
East Anglia,31/10/2016,431.4695
East Anglia,31/01/2017,432.5918
East Anglia,30/04/2017,434.0067
East Anglia,31/07/2017,436.4463
East Anglia,31/10/2017,441.1646
East Anglia,31/01/2018,442.9579
East Anglia,30/04/2018,445.1309
East Anglia,31/07/2018,449.4725
East Anglia,31/10/2018,449.7618
East Anglia,31/01/2019,450.3931
East Anglia,30/04/2019,451.9196
East Anglia,31/07/2019,456.9678
East Anglia,31/10/2019,450.3214
East Anglia,31/01/2020,456.1453
East Anglia,30/04/2020,455.2824
East Midlands,31/10/1973,19.0859
East Midlands,31/01/1974,19.6132
East Midlands,30/04/1974,19.7165
East Midlands,31/07/1974,19.641
East Midlands,31/10/1974,19.6551
East Midlands,31/01/1975,19.8701
East Midlands,30/04/1975,20.5222
East Midlands,31/07/1975,20.8475
East Midlands,31/10/1975,21.476
East Midlands,31/01/1976,21.8484
East Midlands,30/04/1976,22.037
East Midlands,31/07/1976,22.5001
East Midlands,31/10/1976,23.0534
East Midlands,31/01/1977,23.4275
East Midlands,30/04/1977,23.8562
East Midlands,31/07/1977,24.2551
East Midlands,31/10/1977,24.5499
East Midlands,31/01/1978,25.9335
East Midlands,30/04/1978,26.2562
East Midlands,31/07/1978,28.4489
East Midlands,31/10/1978,30.4122
East Midlands,31/01/1979,32.1014
East Midlands,30/04/1979,34.2829
East Midlands,31/07/1979,36.7109
East Midlands,31/10/1979,38.9003
East Midlands,31/01/1980,41.2802
East Midlands,30/04/1980,42.5493
East Midlands,31/07/1980,43.6047
