AccountNumber,PoolCut,IndexedUWValuationNW
C7BAC57F40,31/07/2003,84051.5365
C7BAC57F40,31/07/2009,94790.3715
C7BAC57F40,31/10/2009,97194.4433
C7BAC57F40,31/07/2010,99315.2415
C7BAC57F40,31/10/2004,99832.5451
C7BAC57F40,31/07/2013,100340.7334
C7BAC57F40,31/07/2007,109450.1597
C7BAC57F40,30/11/2016,116291.0566
C7BAC57F40,31/07/2017,119987.4627
C7BAC57F40,31/10/2003,88176.4148
C7BAC57F40,30/04/2009,92235.7046
C7BAC57F40,31/10/2011,98022.8206
C7BAC57F40,30/04/2013,98776.4243
C7BAC57F40,30/04/2007,109822.9452
C7BAC57F40,31/10/2014,110187.244
C7BAC57F40,30/04/2016,114303.9499
C7BAC57F40,30/04/2018,124976.9749
C7BAC57F40,30/09/2018,125301.5827
C7BAC57F40,31/10/2019,129271.1696
C7BAC57F40,31/10/2008,95300.6552
C7BAC57F40,31/10/2012,97216.8649
C7BAC57F40,31/10/2010,97747.5447
C7BAC57F40,30/04/2010,100225.098
C7BAC57F40,31/10/2006,106440.4249
C7BAC57F40,30/04/2015,110563.0331
C7BAC57F40,30/04/2017,119369.8025
C7BAC57F40,31/01/2019,126820.426
C7BAC57F40,30/11/2019,129271.1696
C7BAC57F40,31/01/2004,90884.0166
C7BAC57F40,31/07/2011,97900.0606
C7BAC57F40,31/01/2010,98437.8649
C7BAC57F40,30/04/2005,101880.8398
C7BAC57F40,31/10/2013,103219.0818
C7BAC57F40,31/01/2006,103328.1863
C7BAC57F40,31/01/2014,104893.4035
C7BAC57F40,31/01/2007,108343.8522
C7BAC57F40,31/08/2016,116162.3943
C7BAC57F40,31/10/2018,126857.29
C7BAC57F40,31/01/2009,92217.6835
C7BAC57F40,31/01/2013,98256.3267
C7BAC57F40,31/07/2008,99495.732
C7BAC57F40,31/10/2005,100676.1496
C7BAC57F40,31/01/2008,108672.2834
C7BAC57F40,31/01/2015,109836.496
C7BAC57F40,31/07/2015,111114.7025
C7BAC57F40,31/01/2016,114303.9499
C7BAC57F40,31/10/2017,121755.3255
C7BAC57F40,30/04/2019,127827.2159
C7BAC57F40,31/01/2020,130345.5002
C7BAC57F40,31/07/2012,97159.6235
C7BAC57F40,31/01/2011,97869.5713
C7BAC57F40,31/07/2004,99873.1974
C7BAC57F40,30/04/2006,103687.5957
C7BAC57F40,31/07/2006,104640.0602
