Mnemonic,FGDPD$Q.IGBR,FLBRQ.IGBR,FCPIQ.IGBR,FRILIBOR3MQ.IGBR,
Geography,United Kingdom,United Kingdom,United Kingdom,United Kingdom,
Description,Baseline Scenario (September 2019): National Accounts: Real Gross Domestic Product [GDP] - Market exchange rate; (Bil. 2012 USD; SAAR),Baseline Scenario (September 2019): Labor Force Survey: Unemployment Rate; (%; SA),Baseline Scenario (September 2019): Consumer Price Index - Harmonized; (Index 2015=100; SA),Baseline Scenario (September 2019): Interest Rates: LIBOR on GBP - 3 month; (% p.a.; NSA),
Source,U.K. Office for National Statistics (ONS); Moody's Analytics Forecasted,U.K. Office for National Statistics (ONS); Moody's Analytics Forecasted,U.K. Office for National Statistics (ONS); Moody's Analytics Forecasted,ICE Benchmark Administration Limited (IBA); Moody's Analytics Forecasted,
Month,RealGDP,UnemploymentRate,CPI,LIBOR3M,FixedRate2Year
31/01/1988,6.73,9.38,3.04,9.21,8.13
29/02/1988,7.15,9.2,3.39,9.21,8.13
31/03/1988,7.08,9.02,3.69,8.75,8.13
30/04/1988,6.62,8.84,3.95,8.21,8.13
31/05/1988,6.03,8.68,4.21,8.19,8.13
30/06/1988,5.53,8.58,4.5,9.04,8.13
31/07/1988,5.19,8.5,4.89,10.39,8.13
31/08/1988,5.06,8.41,5.44,11.61,8.13
30/09/1988,5.11,8.29,6.12,12.24,8.13
31/10/1988,5.16,8.14,6.67,12.42,8.13
30/11/1988,4.96,7.99,6.75,12.46,8.13
31/12/1988,4.4,7.87,6.17,12.61,8.13
31/01/1989,3.71,7.74,5.31,12.86,8.13
28/02/1989,3.3,7.61,4.71,13.11,8.13
31/03/1989,3.34,7.45,4.66,13.32,8.13
30/04/1989,3.6,7.3,4.96,13.47,8.13
31/05/1989,3.67,7.18,5.25,13.55,8.13
30/06/1989,3.31,7.12,5.27,13.6,8.13
31/07/1989,2.66,7.11,5.12,13.68,8.13
31/08/1989,2,7.11,5.02,13.92,8.13
30/09/1989,1.56,7.08,5.13,14.34,8.13
31/10/1989,1.33,7.04,5.36,14.83,8.13
30/11/1989,1.26,7,5.58,15.2,8.13
31/12/1989,1.3,6.96,5.68,15.35,8.13
31/01/1990,1.41,6.92,5.74,15.31,8.13
28/02/1990,1.54,6.9,5.86,15.22,8.13
31/03/1990,1.65,6.88,6.11,15.14,8.13
30/04/1990,1.65,6.88,6.45,15.11,8.13
31/05/1990,1.46,6.89,6.8,15.14,8.13
30/06/1990,1.05,6.93,7.07,15.21,8.13
31/07/1990,0.55,7,7.31,15.23,8.13
31/08/1990,0.15,7.09,7.58,15.06,8.13
30/09/1990,-0.02,7.22,7.87,14.66,8.13
31/10/1990,-0.07,7.36,8.04,14.17,8.13
30/11/1990,-0.16,7.5,7.92,13.79,8.13
31/12/1990,-0.4,7.64,7.45,13.66,8.13
31/01/1991,-0.77,7.8,6.92,13.59,8.13
28/02/1991,-1.17,7.98,6.79,13.38,8.13
31/03/1991,-1.56,8.21,7.26,12.87,8.13
30/04/1991,-1.83,8.47,8.02,12.18,8.13
31/05/1991,-1.89,8.71,8.57,11.55,8.13
30/06/1991,-1.67,8.91,8.56,11.15,8.13
31/07/1991,-1.29,9.07,8.13,10.93,8.13
31/08/1991,-0.93,9.21,7.59,10.81,8.13
30/09/1991,-0.7,9.32,7.18,10.69,8.13
31/10/1991,-0.58,9.42,6.96,10.59,8.13
30/11/1991,-0.48,9.5,6.96,10.57,8.13
31/12/1991,-0.33,9.58,7.12,10.63,8.13
31/01/1992,-0.18,9.64,7.21,10.7,8.13
29/02/1992,-0.12,9.7,6.97,10.66,8.13
31/03/1992,-0.18,9.75,6.25,10.46,8.13
30/04/1992,-0.27,9.79,5.25,10.24,8.13
31/05/1992,-0.23,9.81,4.34,10.19,8.13
30/06/1992,0.03,9.8,3.77,10.39,8.13
31/07/1992,0.4,9.8,3.46,10.58,8.13
31/08/1992,0.75,9.87,3.27,10.4,8.13
30/09/1992,0.95,10.03,3.09,9.62,8.13
31/10/1992,1.07,10.23,2.9,8.53,8.13
30/11/1992,1.2,10.42,2.72,7.51,8.13
31/12/1992,1.41,10.55,2.58,6.88,8.13
31/01/1993,1.68,10.61,2.45,6.56,8.13
28/02/1993,1.96,10.61,2.36,6.39,8.13
31/03/1993,2.21,10.58,2.29,6.23,8.13
30/04/1993,2.43,10.51,2.29,6.08,8.13
31/05/1993,2.6,10.41,2.41,5.98,8.13
30/06/1993,2.7,10.29,2.64,5.97,8.13
31/07/1993,2.75,10.19,2.87,6,8.13
31/08/1993,2.74,10.17,2.95,5.99,8.13
30/09/1993,2.7,10.24,2.79,5.89,8.13
31/10/1993,2.66,10.33,2.52,5.75,8.13
30/11/1993,2.67,10.34,2.32,5.59,8.13
31/12/1993,2.76,10.23,2.29,5.47,8.13
31/01/1994,2.93,10.04,2.37,5.37,8.13
28/02/1994,3.15,9.87,2.41,5.3,8.13
31/03/1994,3.39,9.78,2.32,5.24,8.13
30/04/1994,3.65,9.74,2.13,5.21,8.13
31/05/1994,3.87,9.71,1.96,5.21,8.13
30/06/1994,4.03,9.65,1.84,5.27,8.13
31/07/1994,4.14,9.55,1.78,5.38,8.13
31/08/1994,4.22,9.41,1.71,5.53,8.13
30/09/1994,4.27,9.24,1.63,5.72,8.13
31/10/1994,4.27,9.09,1.59,5.93,8.13
30/11/1994,4.19,8.98,1.69,6.17,8.13
31/12/1994,4,8.94,1.98,6.41,8.13
31/01/1995,3.72,8.94,2.34,6.63,8.13
28/02/1995,3.39,8.92,2.58,6.75,8.38
31/03/1995,3.04,8.85,2.64,6.78,8.08
30/04/1995,2.72,8.76,2.56,6.75,8.29
31/05/1995,2.52,8.68,2.47,6.73,8.22
30/06/1995,2.47,8.66,2.46,6.76,7.94
31/07/1995,2.47,8.65,2.54,6.81,7.89
31/08/1995,2.39,8.62,2.68,6.86,7.99
30/09/1995,2.16,8.53,2.84,6.87,7.99
31/10/1995,1.9,8.41,2.98,6.82,7.99
30/11/1995,1.77,8.29,3.04,6.72,7.99
31/12/1995,1.9,8.21,2.98,6.56,7.99
31/01/1996,2.17,8.17,2.85,6.39,6.7
29/02/1996,2.41,8.19,2.7,6.26,6.65
31/03/1996,2.5,8.24,2.57,6.19,6.49
30/04/1996,2.45,8.3,2.46,6.14,6.62
31/05/1996,2.35,8.32,2.38,6.06,7.01
30/06/1996,2.24,8.27,2.31,5.93,7.06
31/07/1996,2.19,8.18,2.28,5.81,7.12
31/08/1996,2.26,8.09,2.3,5.79,7.09
30/09/1996,2.46,8.02,2.39,5.92,7.06
31/10/1996,2.74,7.95,2.47,6.13,6.96
30/11/1996,2.99,7.82,2.46,6.31,6.94
31/12/1996,3.14,7.63,2.32,6.37,7.24
31/01/1997,3.25,7.41,2.11,6.35,7.29
28/02/1997,3.4,7.26,1.92,6.32,7.35
31/03/1997,3.64,7.22,1.81,6.33,7.11
30/04/1997,3.9,7.24,1.8,6.39,7.24
31/05/1997,4.02,7.23,1.85,6.53,7.15
30/06/1997,3.93,7.13,1.96,6.73,7.14
31/07/1997,3.77,6.96,2.04,6.98,7.2
31/08/1997,3.72,6.79,2.01,7.21,7.17
30/09/1997,3.91,6.65,1.84,7.39,7.06
31/10/1997,4.19,6.55,1.61,7.51,7.07
30/11/1997,4.32,6.49,1.44,7.58,7.04
31/12/1997,4.18,6.45,1.41,7.6,7.13
31/01/1998,3.88,6.43,1.49,7.59,7.13
28/02/1998,3.64,6.4,1.63,7.56,7.08
31/03/1998,3.58,6.37,1.77,7.54,7.02
30/04/1998,3.65,6.33,1.87,7.54,7.14
31/05/1998,3.74,6.3,1.85,7.57,7.12
30/06/1998,3.78,6.27,1.71,7.64,6.94
31/07/1998,3.75,6.25,1.5,7.71,7.08
31/08/1998,3.68,6.21,1.34,7.71,7.33
30/09/1998,3.58,6.14,1.29,7.58,7.27
31/10/1998,3.5,6.09,1.33,7.33,6.91
30/11/1998,3.47,6.08,1.42,6.93,6.66
31/12/1998,3.5,6.13,1.49,6.43,6.42
31/01/1999,3.48,6.2,1.55,5.91,5.9
28/02/1999,3.31,6.23,1.57,5.54,5.78
31/03/1999,2.94,6.18,1.56,5.37,5.64
30/04/1999,2.54,6.08,1.52,5.33,5.71
31/05/1999,2.41,5.98,1.45,5.31,5.72
30/06/1999,2.71,5.94,1.38,5.24,5.89
31/07/1999,3.27,5.93,1.31,5.17,6
31/08/1999,3.81,5.91,1.25,5.22,6.19
30/09/1999,4.12,5.86,1.23,5.45,6.22
31/10/1999,4.21,5.81,1.2,5.76,6.5
30/11/1999,4.18,5.78,1.14,6.03,6.6
31/12/1999,4.13,5.8,1.01,6.16,6.52
31/01/2000,4.13,5.83,0.85,6.19,6.78
29/02/2000,4.26,5.82,0.72,6.2,6.79
31/03/2000,4.53,5.74,0.66,6.22,6.45
30/04/2000,4.78,5.61,0.64,6.26,6.31
31/05/2000,4.8,5.49,0.64,6.28,6.39
